N,fx,fy,fs,direction,dropout,hidden_size,lr,num_layers,n_params,inference_10k_s,train_time_s,accuracy,precision,recall,f1,best_epoch
200,37,23,800,bidirectional,0.2,256,0.001,4,5266442,8.6619302,5240.139742,94.65,94.59647769,94.60587637,94.59775294,31
200,37,23,800,bidirectional,0.2,256,0.01,4,5266442,8.1545907,2645.670143,11.35,1.135,10,2.038616974,11
200,37,23,800,unidirectional,0.2,256,0.001,4,1846794,4.0878332,2381.798855,94.45,94.38530405,94.40301187,94.39051835,31
200,37,23,800,unidirectional,0.2,256,0.01,4,1846794,3.9270831,635.4072137,11.35,1.135,10,2.038616974,1
500,39,41,1200,bidirectional,0,128,0.001,1,136714,1.131541469,662.1694833,96.04,95.99156874,96.02144013,96.00020701,19
500,39,41,1200,bidirectional,0,128,0.01,1,136714,1.114022435,246.73238,47.36,47.54595627,47.08105947,46.05259029,1
500,39,41,1200,unidirectional,0,128,0.001,1,68362,0.567958134,648.0428627,96.15,96.12805884,96.11430624,96.11772561,37
500,39,41,1200,unidirectional,0,128,0.01,1,68362,0.556214458,416.8827382,92.36,92.38842001,92.29108024,92.29449995,22
500,39,41,1200,bidirectional,0.2,128,0.001,1,136714,1.139698636,1027.857959,95.83,95.80459484,95.78376069,95.79162455,35
500,39,41,1200,bidirectional,0.2,128,0.01,1,136714,1.080397072,625.8973537,89.23,89.27659074,89.11882155,89.13814572,18
500,39,41,1200,unidirectional,0.2,128,0.001,1,68362,0.567336711,152.0506861,50.65,49.71100486,50.16645743,47.70091662,1
500,39,41,1200,unidirectional,0.2,128,0.01,1,68362,0.561114379,284.0610917,92.6,92.58508053,92.53333612,92.50096642,11
500,39,41,1200,bidirectional,0,128,0.001,2,531978,2.725656891,1856.503963,95.82,95.77782399,95.75712233,95.76437724,31
500,39,41,1200,bidirectional,0,128,0.01,2,531978,2.71468623,1962.329312,95.55,95.51878263,95.51405193,95.50574693,31
500,39,41,1200,unidirectional,0,128,0.001,2,200458,1.165583405,798.5872063,95.79,95.76916566,95.76861898,95.75905565,24
500,39,41,1200,unidirectional,0,128,0.01,2,200458,1.16881159,1122.708721,93.85,93.8063862,93.79399649,93.7835201,46
500,39,41,1200,bidirectional,0.2,128,0.001,2,531978,2.621426042,2001.687804,96.43,96.39929394,96.39625413,96.39630089,31
500,39,41,1200,bidirectional,0.2,128,0.01,2,531978,2.681662672,2454.684391,94.05,94.04097789,93.99969518,93.98906384,50
500,39,41,1200,unidirectional,0.2,128,0.001,2,200458,1.234668915,1188.875298,96.66,96.63358892,96.64454018,96.63573084,49
500,39,41,1200,unidirectional,0.2,128,0.01,2,200458,1.142254124,1116.831711,95.71,95.66462905,95.65932937,95.65487263,46
500,39,41,1200,bidirectional,0,128,0.001,3,927242,4.294657325,3766.22168,96.46,96.42124642,96.4225456,96.42057194,43
500,39,41,1200,bidirectional,0,128,0.01,3,927242,3.870586492,3301.008025,87.22,87.22579486,87.13590468,87.05754151,48
